2026-02-10 15:47:17.135 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.24K tokens (1242) | response=81 tokens | total=1.32K tokens (1323) | latency=4248ms
2026-02-11 14:34:43.723 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.85K tokens (1849) | response=112 tokens | total=1.96K tokens (1961) | latency=1348ms
2026-02-11 14:34:46.187 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.90K tokens (1899) | response=130 tokens | total=2.03K tokens (2029) | latency=2301ms
2026-02-11 14:35:09.163 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.94K tokens (1937) | response=136 tokens | total=2.07K tokens (2073) | latency=1572ms
2026-02-11 14:40:08.153 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.15K tokens (1146) | response=74 tokens | total=1.22K tokens (1220) | latency=3916ms
2026-02-11 14:40:14.269 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.22K tokens (1216) | response=116 tokens | total=1.33K tokens (1332) | latency=1603ms
2026-02-11 14:40:15.615 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.31K tokens (1313) | response=63 tokens | total=1.38K tokens (1376) | latency=1301ms
2026-02-11 14:40:17.435 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.42K tokens (1420) | response=39 tokens | total=1.46K tokens (1459) | latency=1794ms
2026-02-11 14:40:19.277 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.52K tokens (1520) | response=135 tokens | total=1.66K tokens (1655) | latency=1624ms
2026-02-11 14:40:20.980 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.65K tokens (1648) | response=94 tokens | total=1.74K tokens (1742) | latency=1665ms
2026-02-11 14:40:22.774 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.67K tokens (1674) | response=128 tokens | total=1.80K tokens (1802) | latency=1728ms
2026-02-11 14:40:24.134 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.71K tokens (1707) | response=115 tokens | total=1.82K tokens (1822) | latency=1349ms
2026-02-11 14:40:26.855 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.71K tokens (1705) | response=149 tokens | total=1.85K tokens (1854) | latency=2549ms
2026-02-11 14:40:28.130 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.71K tokens (1705) | response=106 tokens | total=1.81K tokens (1811) | latency=1260ms
2026-02-11 16:02:11.978 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.15K tokens (1146) | response=74 tokens | total=1.22K tokens (1220) | latency=3917ms
2026-02-11 16:02:18.279 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.22K tokens (1216) | response=116 tokens | total=1.33K tokens (1332) | latency=1512ms
2026-02-11 16:02:19.688 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.31K tokens (1313) | response=63 tokens | total=1.38K tokens (1376) | latency=1352ms
2026-02-11 16:02:21.366 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.42K tokens (1420) | response=39 tokens | total=1.46K tokens (1459) | latency=1638ms
2026-02-11 16:02:23.155 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.52K tokens (1520) | response=135 tokens | total=1.66K tokens (1655) | latency=1446ms
2026-02-11 16:02:25.265 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.65K tokens (1648) | response=94 tokens | total=1.74K tokens (1742) | latency=2019ms
2026-02-11 16:02:27.052 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.67K tokens (1674) | response=128 tokens | total=1.80K tokens (1802) | latency=1725ms
2026-02-11 16:02:28.330 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.71K tokens (1707) | response=115 tokens | total=1.82K tokens (1822) | latency=1264ms
2026-02-11 16:02:30.118 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.71K tokens (1705) | response=98 tokens | total=1.80K tokens (1803) | latency=1582ms
2026-02-11 16:02:31.794 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.70K tokens (1702) | response=115 tokens | total=1.82K tokens (1817) | latency=1627ms
2026-02-11 16:02:33.129 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.70K tokens (1701) | response=124 tokens | total=1.83K tokens (1825) | latency=1326ms
2026-02-11 16:02:56.049 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.15K tokens (1146) | response=74 tokens | total=1.22K tokens (1220) | latency=3743ms
2026-02-11 16:03:02.416 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.22K tokens (1216) | response=116 tokens | total=1.33K tokens (1332) | latency=1648ms
2026-02-11 16:03:03.714 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.31K tokens (1313) | response=63 tokens | total=1.38K tokens (1376) | latency=1229ms
2026-02-11 16:03:05.539 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.42K tokens (1420) | response=39 tokens | total=1.46K tokens (1459) | latency=1800ms
2026-02-11 16:03:07.540 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.52K tokens (1520) | response=135 tokens | total=1.66K tokens (1655) | latency=1680ms
2026-02-11 16:03:09.520 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.65K tokens (1648) | response=94 tokens | total=1.74K tokens (1742) | latency=1902ms
2026-02-11 16:03:11.290 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.67K tokens (1674) | response=128 tokens | total=1.80K tokens (1802) | latency=1687ms
2026-02-11 16:03:12.658 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.71K tokens (1707) | response=115 tokens | total=1.82K tokens (1822) | latency=1321ms
2026-02-11 16:03:14.546 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.71K tokens (1705) | response=123 tokens | total=1.83K tokens (1828) | latency=1698ms
2026-02-11 16:03:16.440 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.70K tokens (1697) | response=110 tokens | total=1.81K tokens (1807) | latency=1800ms
2026-02-11 16:50:24.674 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.15K tokens (1146) | response=74 tokens | total=1.22K tokens (1220) | latency=4518ms
2026-02-11 16:50:30.382 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.22K tokens (1216) | response=116 tokens | total=1.33K tokens (1332) | latency=1511ms
2026-02-11 16:50:31.831 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.31K tokens (1313) | response=63 tokens | total=1.38K tokens (1376) | latency=1365ms
2026-02-11 16:50:33.821 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.42K tokens (1420) | response=39 tokens | total=1.46K tokens (1459) | latency=1930ms
2026-02-11 16:50:35.609 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.52K tokens (1520) | response=135 tokens | total=1.66K tokens (1655) | latency=1446ms
2026-02-11 16:50:37.520 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.65K tokens (1648) | response=94 tokens | total=1.74K tokens (1742) | latency=1864ms
2026-02-11 16:50:39.379 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.67K tokens (1674) | response=128 tokens | total=1.80K tokens (1802) | latency=1753ms
2026-02-11 16:50:40.730 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.71K tokens (1707) | response=115 tokens | total=1.82K tokens (1822) | latency=1305ms
2026-02-11 16:50:43.545 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.71K tokens (1705) | response=160 tokens | total=1.87K tokens (1865) | latency=2613ms
2026-02-11 16:50:45.612 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.70K tokens (1697) | response=104 tokens | total=1.80K tokens (1801) | latency=1968ms
2026-02-11 16:55:14.056 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.43K tokens (1430) | response=80 tokens | total=1.51K tokens (1510) | latency=4055ms
2026-02-11 16:55:19.745 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.52K tokens (1519) | response=127 tokens | total=1.65K tokens (1646) | latency=1548ms
2026-02-11 16:55:24.203 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.65K tokens (1649) | response=113 tokens | total=1.76K tokens (1762) | latency=1569ms
2026-02-11 16:55:33.016 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.77K tokens (1767) | response=82 tokens | total=1.85K tokens (1849) | latency=1552ms
2026-02-11 16:55:34.469 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.83K tokens (1831) | response=124 tokens | total=1.96K tokens (1955) | latency=1445ms
2026-02-11 16:55:43.132 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.98K tokens (1975) | response=102 tokens | total=2.08K tokens (2077) | latency=1165ms
2026-02-11 16:55:45.292 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.98K tokens (1975) | response=124 tokens | total=2.10K tokens (2099) | latency=2079ms
2026-02-11 16:55:49.955 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.02K tokens (2017) | response=102 tokens | total=2.12K tokens (2119) | latency=1349ms
2026-02-11 16:55:52.257 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.99K tokens (1988) | response=119 tokens | total=2.11K tokens (2107) | latency=1634ms
2026-02-11 16:55:53.649 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.04K tokens (2042) | response=110 tokens | total=2.15K tokens (2152) | latency=1364ms
2026-02-11 16:55:56.311 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.02K tokens (2017) | response=108 tokens | total=2.13K tokens (2125) | latency=1571ms
2026-02-11 16:55:57.636 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.99K tokens (1992) | response=106 tokens | total=2.10K tokens (2098) | latency=1320ms
2026-02-11 16:56:02.449 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.91K tokens (1908) | response=118 tokens | total=2.03K tokens (2026) | latency=2182ms
2026-02-11 16:56:04.761 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.89K tokens (1886) | response=168 tokens | total=2.05K tokens (2054) | latency=2266ms
2026-02-11 16:56:09.358 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.88K tokens (1878) | response=169 tokens | total=2.05K tokens (2047) | latency=4493ms
2026-02-11 16:56:10.899 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.85K tokens (1849) | response=112 tokens | total=1.96K tokens (1961) | latency=1389ms
2026-02-11 16:56:13.605 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.90K tokens (1899) | response=130 tokens | total=2.03K tokens (2029) | latency=2490ms
2026-02-11 16:56:47.286 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.18K tokens (2184) | response=137 tokens | total=2.32K tokens (2321) | latency=3379ms
2026-02-11 16:57:23.184 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.48K tokens (2484) | response=155 tokens | total=2.64K tokens (2639) | latency=5674ms
2026-02-12 10:23:06.640 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.43K tokens (1430) | response=80 tokens | total=1.51K tokens (1510) | latency=4407ms
2026-02-12 10:23:12.993 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.52K tokens (1519) | response=127 tokens | total=1.65K tokens (1646) | latency=1896ms
2026-02-12 10:23:17.518 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.65K tokens (1649) | response=113 tokens | total=1.76K tokens (1762) | latency=1579ms
2026-02-12 10:23:29.381 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.77K tokens (1767) | response=82 tokens | total=1.85K tokens (1849) | latency=2590ms
2026-02-12 10:23:30.826 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.83K tokens (1831) | response=124 tokens | total=1.96K tokens (1955) | latency=1432ms
2026-02-12 10:23:39.072 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.98K tokens (1975) | response=102 tokens | total=2.08K tokens (2077) | latency=1406ms
2026-02-12 10:23:41.082 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.98K tokens (1975) | response=124 tokens | total=2.10K tokens (2099) | latency=1948ms
2026-02-12 10:23:46.003 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.02K tokens (2017) | response=102 tokens | total=2.12K tokens (2119) | latency=1204ms
2026-02-12 10:23:47.997 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.99K tokens (1988) | response=119 tokens | total=2.11K tokens (2107) | latency=1604ms
2026-02-12 10:23:49.629 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.04K tokens (2042) | response=110 tokens | total=2.15K tokens (2152) | latency=1591ms
2026-02-12 10:23:51.840 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.02K tokens (2017) | response=108 tokens | total=2.13K tokens (2125) | latency=1783ms
2026-02-12 10:23:53.306 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.99K tokens (1992) | response=106 tokens | total=2.10K tokens (2098) | latency=1454ms
2026-02-12 10:23:58.360 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.91K tokens (1908) | response=118 tokens | total=2.03K tokens (2026) | latency=2068ms
2026-02-12 10:24:01.092 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.89K tokens (1886) | response=168 tokens | total=2.05K tokens (2054) | latency=2684ms
2026-02-12 10:24:05.302 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.88K tokens (1878) | response=169 tokens | total=2.05K tokens (2047) | latency=4099ms
2026-02-12 10:24:06.820 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.85K tokens (1849) | response=112 tokens | total=1.96K tokens (1961) | latency=1385ms
2026-02-12 10:24:09.783 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.90K tokens (1899) | response=130 tokens | total=2.03K tokens (2029) | latency=2831ms
2026-02-12 10:24:41.718 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.19K tokens (2185) | response=122 tokens | total=2.31K tokens (2307) | latency=1687ms
2026-02-12 10:25:19.348 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.49K tokens (2486) | response=108 tokens | total=2.59K tokens (2594) | latency=7457ms
2026-02-12 10:25:21.630 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.47K tokens (2472) | response=133 tokens | total=2.61K tokens (2605) | latency=2214ms
2026-02-12 10:26:01.900 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.75K tokens (2750) | response=152 tokens | total=2.90K tokens (2902) | latency=10106ms
2026-02-12 10:26:04.586 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.73K tokens (2732) | response=104 tokens | total=2.84K tokens (2836) | latency=2658ms
2026-02-12 10:26:07.099 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.45K tokens (2451) | response=104 tokens | total=2.56K tokens (2555) | latency=2439ms
2026-02-12 10:26:40.453 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.45K tokens (2451) | response=85 tokens | total=2.54K tokens (2536) | latency=3206ms
2026-02-12 10:26:59.464 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.45K tokens (2451) | response=163 tokens | total=2.61K tokens (2614) | latency=18972ms
2026-02-12 10:27:06.451 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.17K tokens (2173) | response=136 tokens | total=2.31K tokens (2309) | latency=3756ms
2026-02-12 10:27:40.910 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.46K tokens (2463) | response=153 tokens | total=2.62K tokens (2616) | latency=4264ms
2026-02-12 10:27:42.537 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.47K tokens (2471) | response=77 tokens | total=2.55K tokens (2548) | latency=1501ms
2026-02-12 10:27:44.214 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.17K tokens (2167) | response=144 tokens | total=2.31K tokens (2311) | latency=1672ms
2026-02-12 10:27:45.482 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.37K tokens (2369) | response=79 tokens | total=2.45K tokens (2448) | latency=1270ms
2026-02-12 10:27:46.852 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.55K tokens (2554) | response=77 tokens | total=2.63K tokens (2631) | latency=1355ms
2026-02-13 11:15:30.263 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.43K tokens (1430) | response=80 tokens | total=1.51K tokens (1510) | latency=2975ms
2026-02-13 11:15:36.050 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.52K tokens (1519) | response=127 tokens | total=1.65K tokens (1646) | latency=1835ms
2026-02-13 11:15:41.079 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.65K tokens (1649) | response=113 tokens | total=1.76K tokens (1762) | latency=1558ms
2026-02-13 11:15:48.029 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.77K tokens (1767) | response=82 tokens | total=1.85K tokens (1849) | latency=1336ms
2026-02-13 11:15:49.684 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.83K tokens (1831) | response=124 tokens | total=1.96K tokens (1955) | latency=1637ms
2026-02-13 11:15:59.284 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.98K tokens (1975) | response=102 tokens | total=2.08K tokens (2077) | latency=1182ms
2026-02-13 11:16:02.236 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.98K tokens (1975) | response=124 tokens | total=2.10K tokens (2099) | latency=2909ms
2026-02-13 11:16:05.513 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.02K tokens (2017) | response=102 tokens | total=2.12K tokens (2119) | latency=1177ms
2026-02-13 11:16:07.459 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.99K tokens (1988) | response=119 tokens | total=2.11K tokens (2107) | latency=1618ms
2026-02-13 11:16:08.886 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.04K tokens (2042) | response=110 tokens | total=2.15K tokens (2152) | latency=1406ms
2026-02-13 11:16:11.741 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.02K tokens (2017) | response=108 tokens | total=2.13K tokens (2125) | latency=1697ms
2026-02-13 11:16:13.196 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.99K tokens (1992) | response=106 tokens | total=2.10K tokens (2098) | latency=1452ms
2026-02-13 11:16:17.136 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.91K tokens (1908) | response=118 tokens | total=2.03K tokens (2026) | latency=2408ms
2026-02-13 11:16:19.270 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.89K tokens (1886) | response=168 tokens | total=2.05K tokens (2054) | latency=2079ms
2026-02-13 11:16:24.102 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.88K tokens (1878) | response=169 tokens | total=2.05K tokens (2047) | latency=4723ms
2026-02-13 11:16:25.630 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.85K tokens (1849) | response=112 tokens | total=1.96K tokens (1961) | latency=1398ms
2026-02-13 11:16:28.068 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.90K tokens (1899) | response=130 tokens | total=2.03K tokens (2029) | latency=2326ms
2026-02-13 11:17:01.164 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.19K tokens (2185) | response=132 tokens | total=2.32K tokens (2317) | latency=2844ms
2026-02-13 11:17:40.938 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.49K tokens (2486) | response=165 tokens | total=2.65K tokens (2651) | latency=5950ms
2026-02-13 12:57:34.949 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.43K tokens (1430) | response=80 tokens | total=1.51K tokens (1510) | latency=4199ms
2026-02-13 12:57:40.445 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.52K tokens (1519) | response=127 tokens | total=1.65K tokens (1646) | latency=1752ms
2026-02-13 12:57:47.824 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.65K tokens (1649) | response=113 tokens | total=1.76K tokens (1762) | latency=1691ms
2026-02-13 12:57:53.327 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.77K tokens (1767) | response=82 tokens | total=1.85K tokens (1849) | latency=1439ms
2026-02-13 12:57:54.877 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.83K tokens (1831) | response=124 tokens | total=1.96K tokens (1955) | latency=1537ms
2026-02-13 12:58:04.491 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.98K tokens (1975) | response=102 tokens | total=2.08K tokens (2077) | latency=1279ms
2026-02-13 12:58:06.828 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.98K tokens (1975) | response=124 tokens | total=2.10K tokens (2099) | latency=2287ms
2026-02-13 12:58:10.867 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.02K tokens (2017) | response=102 tokens | total=2.12K tokens (2119) | latency=1248ms
2026-02-13 12:58:13.479 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.99K tokens (1988) | response=119 tokens | total=2.11K tokens (2107) | latency=1924ms
2026-02-13 12:58:14.898 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.04K tokens (2042) | response=110 tokens | total=2.15K tokens (2152) | latency=1387ms
2026-02-13 12:58:17.080 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.02K tokens (2017) | response=108 tokens | total=2.13K tokens (2125) | latency=1754ms
2026-02-13 12:58:18.469 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.99K tokens (1992) | response=106 tokens | total=2.10K tokens (2098) | latency=1385ms
2026-02-13 12:58:23.428 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.91K tokens (1908) | response=118 tokens | total=2.03K tokens (2026) | latency=2394ms
2026-02-13 12:58:26.222 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.89K tokens (1886) | response=168 tokens | total=2.05K tokens (2054) | latency=2761ms
2026-02-13 12:58:31.290 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.88K tokens (1878) | response=169 tokens | total=2.05K tokens (2047) | latency=4966ms
2026-02-13 12:58:32.869 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.85K tokens (1849) | response=112 tokens | total=1.96K tokens (1961) | latency=1410ms
2026-02-13 12:58:35.471 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.90K tokens (1899) | response=130 tokens | total=2.03K tokens (2029) | latency=2506ms
2026-02-13 12:59:07.938 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.19K tokens (2185) | response=133 tokens | total=2.32K tokens (2318) | latency=2251ms
2026-02-13 12:59:56.521 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.49K tokens (2486) | response=169 tokens | total=2.66K tokens (2655) | latency=18425ms
2026-02-13 13:50:28.452 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=763 tokens | response=90 tokens | total=853 tokens | latency=4051ms
2026-02-13 13:50:34.547 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=834 tokens | response=128 tokens | total=962 tokens | latency=1579ms
2026-02-13 13:54:30.618 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.21K tokens (1206) | response=133 tokens | total=1.34K tokens (1339) | latency=205809ms
2026-02-13 13:54:32.431 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.31K tokens (1313) | response=122 tokens | total=1.44K tokens (1435) | latency=1726ms
2026-02-13 13:54:36.159 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.44K tokens (1439) | response=82 tokens | total=1.52K tokens (1521) | latency=3700ms
2026-02-13 13:55:08.106 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.80K tokens (1796) | response=50 tokens | total=1.85K tokens (1846) | latency=1751ms
2026-02-13 13:55:09.533 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.83K tokens (1826) | response=44 tokens | total=1.87K tokens (1870) | latency=1411ms
2026-02-13 13:55:44.915 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.82K tokens (1822) | response=161 tokens | total=1.98K tokens (1983) | latency=5137ms
2026-02-13 13:55:46.454 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.84K tokens (1841) | response=112 tokens | total=1.95K tokens (1953) | latency=1505ms
2026-02-13 13:55:47.941 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.84K tokens (1837) | response=98 tokens | total=1.94K tokens (1935) | latency=1265ms
2026-02-13 13:55:49.520 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.60K tokens (1599) | response=133 tokens | total=1.73K tokens (1732) | latency=1463ms
2026-02-13 13:55:54.126 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=774 tokens | response=116 tokens | total=890 tokens | latency=1820ms
2026-02-13 13:55:57.283 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.02K tokens (1021) | response=134 tokens | total=1.16K tokens (1155) | latency=2062ms
2026-02-13 13:56:02.801 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.10K tokens (1099) | response=120 tokens | total=1.22K tokens (1219) | latency=1763ms
2026-02-13 13:56:06.520 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.24K tokens (1238) | response=90 tokens | total=1.33K tokens (1328) | latency=1307ms
2026-02-13 13:56:08.466 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.33K tokens (1332) | response=121 tokens | total=1.45K tokens (1453) | latency=1892ms
2026-02-13 14:00:11.687 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.69K tokens (1689) | response=211 tokens | total=1.90K tokens (1900) | latency=212983ms
2026-02-13 14:04:53.574 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.83K tokens (1825) | response=185 tokens | total=2.01K tokens (2010) | latency=251659ms
2026-02-13 14:12:26.041 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.43K tokens (1430) | response=80 tokens | total=1.51K tokens (1510) | latency=2963ms
2026-02-13 14:12:32.766 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.52K tokens (1519) | response=127 tokens | total=1.65K tokens (1646) | latency=1752ms
2026-02-13 14:12:38.335 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.65K tokens (1649) | response=113 tokens | total=1.76K tokens (1762) | latency=1709ms
2026-02-13 14:12:44.431 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.77K tokens (1767) | response=82 tokens | total=1.85K tokens (1849) | latency=1447ms
2026-02-13 14:12:46.131 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.83K tokens (1831) | response=124 tokens | total=1.96K tokens (1955) | latency=1684ms
2026-02-13 14:12:56.687 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.98K tokens (1975) | response=102 tokens | total=2.08K tokens (2077) | latency=1255ms
2026-02-13 14:12:58.885 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.98K tokens (1975) | response=124 tokens | total=2.10K tokens (2099) | latency=2128ms
2026-02-13 14:13:03.144 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.02K tokens (2017) | response=102 tokens | total=2.12K tokens (2119) | latency=1253ms
2026-02-13 14:13:05.709 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.99K tokens (1988) | response=119 tokens | total=2.11K tokens (2107) | latency=1859ms
2026-02-13 14:13:07.160 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.04K tokens (2042) | response=110 tokens | total=2.15K tokens (2152) | latency=1412ms
2026-02-13 14:13:09.978 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.02K tokens (2017) | response=108 tokens | total=2.13K tokens (2125) | latency=1680ms
2026-02-13 14:13:11.325 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.99K tokens (1992) | response=106 tokens | total=2.10K tokens (2098) | latency=1339ms
